10_002_C_snippet
 risk of interval [0,4]: 0.015125620178878307
10_009_C_snippet
 risk of interval [0,4]: 0.6678305268287659
 risk of interval [5,9]: 0.4294217526912689
 risk of interval [10,14]: 0.03676298260688782
 risk of interval [15,19]: 0.809905469417572
 risk of interval [20,24]: 0.9139003753662109
 risk of interval [25,29]: 0.9762881994247437
 risk of interval [30,34]: 0.8384724855422974
 risk of interval [35,39]: 0.7714411020278931
 risk of interval [40,44]: 0.7308329343795776
 risk of interval [45,49]: 0.8481976985931396
 risk of interval [50,54]: 0.6649230122566223
 risk of interval [55,59]: 0.48827624320983887
 risk of interval [60,64]: 0.4355471134185791
 risk of interval [65,69]: 0.258582204580307
 risk of interval [70,74]: 0.25367775559425354
10_011_C_snippet
 risk of interval [0,4]: 0.011852160096168518
 risk of interval [5,9]: 0.06041625514626503
 risk of interval [10,14]: 0.3217993974685669
 risk of interval [15,19]: 0.10446405410766602
 risk of interval [20,24]: 0.7421867847442627
 risk of interval [25,29]: 0.9711447358131409
 risk of interval [30,34]: 0.9885330200195312
 risk of interval [35,39]: 0.9694470763206482
 risk of interval [40,44]: 0.9657103419303894
 risk of interval [45,49]: 0.9665387272834778
 risk of interval [50,54]: 0.9880564212799072
 risk of interval [55,59]: 0.9894276857376099
 risk of interval [60,64]: 0.9670581221580505
 risk of interval [65,69]: 0.9847884178161621
 risk of interval [70,74]: 0.9794335961341858
10_012_C_snippet
 risk of interval [0,4]: 0.013996313326060772
 risk of interval [5,9]: 0.01286477129906416
 risk of interval [10,14]: 0.01385736558586359
 risk of interval [15,19]: 0.016082700341939926
 risk of interval [20,24]: 0.07572928071022034
 risk of interval [25,29]: 0.633382260799408
 risk of interval [30,34]: 0.679506778717041
 risk of interval [35,39]: 0.8274831771850586
 risk of interval [40,44]: 0.8870787024497986
 risk of interval [45,49]: 0.8298293948173523
 risk of interval [50,54]: 0.734285295009613
 risk of interval [55,59]: 0.9270554780960083
 risk of interval [60,64]: 0.2616964876651764
 risk of interval [65,69]: 0.17104701697826385
 risk of interval [70,74]: 0.01350097544491291
10_014_C_snippet
 risk of interval [0,4]: 0.8308830857276917
 risk of interval [5,9]: 0.01757662743330002
 risk of interval [10,14]: 0.06718239933252335
 risk of interval [15,19]: 0.5238980054855347
 risk of interval [20,24]: 0.4217991530895233
 risk of interval [25,29]: 0.6926418542861938
 risk of interval [30,34]: 0.6048171520233154
 risk of interval [35,39]: 0.2530844807624817
 risk of interval [40,44]: 0.2530844807624817
 risk of interval [45,49]: 0.8874109983444214
 risk of interval [50,54]: 0.9263719916343689
 risk of interval [55,59]: 0.8266623020172119
 risk of interval [60,64]: 0.3405560553073883
 risk of interval [65,69]: 0.31308257579803467
 risk of interval [70,74]: 0.8548258543014526
10_015_C_snippet
 risk of interval [0,4]: 0.7230677008628845
 risk of interval [5,9]: 0.8680797815322876
 risk of interval [10,14]: 0.9562208652496338
 risk of interval [15,19]: 0.9329731464385986
 risk of interval [20,24]: 0.9902756214141846
 risk of interval [25,29]: 0.9911798238754272
 risk of interval [30,34]: 0.9889185428619385
 risk of interval [35,39]: 0.9917457103729248
 risk of interval [40,44]: 0.8707295656204224
 risk of interval [45,49]: 0.8788315653800964
 risk of interval [50,54]: 0.9910923838615417
 risk of interval [55,59]: 0.9799655079841614
 risk of interval [60,64]: 0.9922003746032715
 risk of interval [65,69]: 0.9891830086708069
 risk of interval [70,74]: 0.9928961992263794
10_016_C_snippet
 risk of interval [0,4]: 0.07551808655261993
 risk of interval [5,9]: 0.6080238819122314
 risk of interval [10,14]: 0.9392200708389282
 risk of interval [15,19]: 0.9077367186546326
 risk of interval [20,24]: 0.7148815393447876
 risk of interval [25,29]: 0.928534984588623
 risk of interval [30,34]: 0.8413326740264893
 risk of interval [35,39]: 0.9865649938583374
 risk of interval [40,44]: 0.9861702919006348
 risk of interval [45,49]: 0.9572222232818604
 risk of interval [50,54]: 0.941947340965271
 risk of interval [55,59]: 0.8708163499832153
 risk of interval [60,64]: 0.9884654879570007
 risk of interval [65,69]: 0.9909153580665588
 risk of interval [70,74]: 0.9901670813560486
10_017_C_snippet
 risk of interval [0,4]: 0.015820804983377457
 risk of interval [5,9]: 0.6750854849815369
 risk of interval [10,14]: 0.7160427570343018
 risk of interval [15,19]: 0.7907561659812927
 risk of interval [20,24]: 0.9826937913894653
 risk of interval [25,29]: 0.9912023544311523
 risk of interval [30,34]: 0.8183144927024841
 risk of interval [35,39]: 0.7467139363288879
 risk of interval [40,44]: 0.9304440021514893
 risk of interval [45,49]: 0.8460454940795898
 risk of interval [50,54]: 0.9418714046478271
 risk of interval [55,59]: 0.8995884656906128
 risk of interval [60,64]: 0.8856046795845032
 risk of interval [65,69]: 0.9534223675727844
 risk of interval [70,74]: 0.8969499468803406
10_018_C_snippet
 risk of interval [0,4]: 0.8158287405967712
 risk of interval [5,9]: 0.6741998791694641
 risk of interval [10,14]: 0.5911919474601746
 risk of interval [15,19]: 0.6505969166755676
 risk of interval [20,24]: 0.9493184685707092
 risk of interval [25,29]: 0.2530844807624817
 risk of interval [30,34]: 0.4982983469963074
 risk of interval [35,39]: 0.1983504295349121
 risk of interval [40,44]: 0.3827344477176666
 risk of interval [45,49]: 0.6773699522018433
 risk of interval [50,54]: 0.8233130574226379
 risk of interval [55,59]: 0.25254225730895996
 risk of interval [60,64]: 0.28457877039909363
 risk of interval [65,69]: 0.26551467180252075
 risk of interval [70,74]: 0.28759291768074036
11_000_C_snippet
 risk of interval [0,4]: 0.08655239641666412
 risk of interval [5,9]: 0.3302627503871918
 risk of interval [10,14]: 0.028851507231593132
 risk of interval [15,19]: 0.6856995224952698
 risk of interval [20,24]: 0.7397471070289612
 risk of interval [25,29]: 0.9348787069320679
 risk of interval [30,34]: 0.5997945666313171
 risk of interval [35,39]: 0.5242065191268921
 risk of interval [40,44]: 0.7919484376907349
 risk of interval [45,49]: 0.9141534566879272
 risk of interval [50,54]: 0.4431878924369812
 risk of interval [55,59]: 0.4747433364391327
 risk of interval [60,64]: 0.473981648683548
 risk of interval [65,69]: 0.5700169801712036
 risk of interval [70,74]: 0.2986809015274048
11_001_C_snippet
 risk of interval [0,4]: 0.579705536365509
 risk of interval [5,9]: 0.7366337180137634
 risk of interval [10,14]: 0.5071874260902405
 risk of interval [15,19]: 0.6046336889266968
 risk of interval [20,24]: 0.17751170694828033
 risk of interval [25,29]: 0.7892880439758301
 risk of interval [30,34]: 0.49486657977104187
 risk of interval [35,39]: 0.6965479254722595
 risk of interval [40,44]: 0.28347769379615784
 risk of interval [45,49]: 0.42668187618255615
 risk of interval [50,54]: 0.5835497975349426
 risk of interval [55,59]: 0.5306428074836731
 risk of interval [60,64]: 0.45312246680259705
 risk of interval [65,69]: 0.5693802237510681
 risk of interval [70,74]: 0.615008533000946
11_004_C_snippet
 risk of interval [0,4]: 0.029200371354818344
 risk of interval [5,9]: 0.3491111099720001
 risk of interval [10,14]: 0.987901508808136
 risk of interval [15,19]: 0.9842625856399536
 risk of interval [20,24]: 0.9836642146110535
 risk of interval [25,29]: 0.9910110235214233
 risk of interval [30,34]: 0.9553917050361633
 risk of interval [35,39]: 0.9474054574966431
 risk of interval [40,44]: 0.9087594747543335
 risk of interval [45,49]: 0.9398288130760193
 risk of interval [50,54]: 0.9140996932983398
 risk of interval [55,59]: 0.9299418926239014
 risk of interval [60,64]: 0.9372429251670837
 risk of interval [65,69]: 0.8980469107627869
 risk of interval [70,74]: 0.9405655860900879
11_005_C_snippet
 risk of interval [0,4]: 0.042473964393138885
 risk of interval [5,9]: 0.9447561502456665
 risk of interval [10,14]: 0.8399178385734558
 risk of interval [15,19]: 0.6147564649581909
 risk of interval [20,24]: 0.8331560492515564
 risk of interval [25,29]: 0.833585262298584
 risk of interval [30,34]: 0.9099581837654114
 risk of interval [35,39]: 0.7795292735099792
 risk of interval [40,44]: 0.7982257008552551
 risk of interval [45,49]: 0.3543233871459961
 risk of interval [50,54]: 0.5076384544372559
 risk of interval [55,59]: 0.480524480342865
 risk of interval [60,64]: 0.43822187185287476
 risk of interval [65,69]: 0.1161189004778862
 risk of interval [70,74]: 0.06347646564245224
11_006_C_snippet
 risk of interval [0,4]: 0.06879246979951859
 risk of interval [5,9]: 0.034700483083724976
 risk of interval [10,14]: 0.23380690813064575
 risk of interval [15,19]: 0.4127950668334961
 risk of interval [20,24]: 0.979144275188446
 risk of interval [25,29]: 0.9887712597846985
 risk of interval [30,34]: 0.9745730757713318
 risk of interval [35,39]: 0.939540684223175
 risk of interval [40,44]: 0.5990915298461914
 risk of interval [45,49]: 0.13391338288784027
 risk of interval [50,54]: 0.1976279616355896
 risk of interval [55,59]: 0.023217109963297844
 risk of interval [60,64]: 0.018916210159659386
 risk of interval [65,69]: 0.01780763268470764
 risk of interval [70,74]: 0.018010061234235764
11_007_C_snippet
 risk of interval [0,4]: 0.8219165802001953
 risk of interval [5,9]: 0.791872501373291
 risk of interval [10,14]: 0.5213614106178284
 risk of interval [15,19]: 0.4222111105918884
 risk of interval [20,24]: 0.4157118797302246
 risk of interval [25,29]: 0.44501325488090515
 risk of interval [30,34]: 0.9336938261985779
 risk of interval [35,39]: 0.9602131843566895
 risk of interval [40,44]: 0.930496335029602
 risk of interval [45,49]: 0.9532922506332397
 risk of interval [50,54]: 0.8916638493537903
 risk of interval [55,59]: 0.6659126281738281
 risk of interval [60,64]: 0.8112307190895081
 risk of interval [65,69]: 0.8675637245178223
 risk of interval [70,74]: 0.7179592251777649
11_008_C_snippet
 risk of interval [0,4]: 0.6235042810440063
 risk of interval [5,9]: 0.9290989637374878
 risk of interval [10,14]: 0.9657899737358093
 risk of interval [15,19]: 0.9591338634490967
 risk of interval [20,24]: 0.6840091943740845
 risk of interval [25,29]: 0.9658721685409546
 risk of interval [30,34]: 0.9848976731300354
 risk of interval [35,39]: 0.904761791229248
 risk of interval [40,44]: 0.9205297827720642
 risk of interval [45,49]: 0.9210081696510315
 risk of interval [50,54]: 0.9239460825920105
 risk of interval [55,59]: 0.9231521487236023
 risk of interval [60,64]: 0.8971132040023804
 risk of interval [65,69]: 0.9347341656684875
 risk of interval [70,74]: 0.9362051486968994
11_009_C_snippet
 risk of interval [0,4]: 0.014752374030649662
 risk of interval [5,9]: 0.050945982336997986
 risk of interval [10,14]: 0.1899051070213318
 risk of interval [15,19]: 0.8079409599304199
 risk of interval [20,24]: 0.937358558177948
 risk of interval [25,29]: 0.9523066282272339
 risk of interval [30,34]: 0.9684657454490662
 risk of interval [35,39]: 0.7838168740272522
 risk of interval [40,44]: 0.5242670178413391
 risk of interval [45,49]: 0.11876814812421799
 risk of interval [50,54]: 0.09017634391784668
 risk of interval [55,59]: 0.03197712451219559
 risk of interval [60,64]: 0.017374906688928604
 risk of interval [65,69]: 0.028193145990371704
 risk of interval [70,74]: 0.04598301276564598
11_012_C_snippet
 risk of interval [0,4]: 0.10144413262605667
 risk of interval [5,9]: 0.05589685216546059
 risk of interval [10,14]: 0.4090169072151184
 risk of interval [15,19]: 0.43543022871017456
 risk of interval [20,24]: 0.45243293046951294
 risk of interval [25,29]: 0.38252684473991394
 risk of interval [30,34]: 0.7552378177642822
 risk of interval [35,39]: 0.8438811302185059
 risk of interval [40,44]: 0.8093554377555847
 risk of interval [45,49]: 0.8453572988510132
 risk of interval [50,54]: 0.6964086294174194
 risk of interval [55,59]: 0.6258690357208252
 risk of interval [60,64]: 0.6766394376754761
 risk of interval [65,69]: 0.6147893071174622
 risk of interval [70,74]: 0.45466652512550354
11_014_C_snippet
 risk of interval [0,4]: 0.059878550469875336
 risk of interval [5,9]: 0.12357746809720993
 risk of interval [10,14]: 0.04500599950551987
 risk of interval [15,19]: 0.19618605077266693
 risk of interval [20,24]: 0.7555838823318481
 risk of interval [25,29]: 0.9789701104164124
 risk of interval [30,34]: 0.9889403581619263
 risk of interval [35,39]: 0.980434238910675
 risk of interval [40,44]: 0.9791596531867981
 risk of interval [45,49]: 0.9733402729034424
 risk of interval [50,54]: 0.9768305420875549
 risk of interval [55,59]: 0.9786271452903748
 risk of interval [60,64]: 0.9793496131896973
 risk of interval [65,69]: 0.9719029664993286
 risk of interval [70,74]: 0.9761185646057129
11_015_C_snippet
 risk of interval [0,4]: 0.851233959197998
 risk of interval [5,9]: 0.49212050437927246
 risk of interval [10,14]: 0.8800398707389832
 risk of interval [15,19]: 0.9687001705169678
 risk of interval [20,24]: 0.6852156519889832
 risk of interval [25,29]: 0.47578519582748413
 risk of interval [30,34]: 0.15622267127037048
 risk of interval [35,39]: 0.7522234916687012
 risk of interval [40,44]: 0.8090168237686157
 risk of interval [45,49]: 0.023595185950398445
 risk of interval [50,54]: 0.04696384072303772
 risk of interval [55,59]: 0.19029751420021057
 risk of interval [60,64]: 0.045324016362428665
 risk of interval [65,69]: 0.052405890077352524
 risk of interval [70,74]: 0.1478128731250763
11_016_C_snippet
 risk of interval [0,4]: 0.042961470782756805
 risk of interval [5,9]: 0.019767826423048973
 risk of interval [10,14]: 0.27951544523239136
 risk of interval [15,19]: 0.4686333239078522
 risk of interval [20,24]: 0.08221432566642761
 risk of interval [25,29]: 0.5011438727378845
 risk of interval [30,34]: 0.3660039007663727
 risk of interval [35,39]: 0.45133328437805176
 risk of interval [40,44]: 0.7740592360496521
 risk of interval [45,49]: 0.6761461496353149
 risk of interval [50,54]: 0.5555773973464966
 risk of interval [55,59]: 0.5032148361206055
 risk of interval [60,64]: 0.5326310992240906
 risk of interval [65,69]: 0.5062859654426575
 risk of interval [70,74]: 0.5074211359024048
11_017_C_snippet
 risk of interval [0,4]: 0.21402165293693542
 risk of interval [5,9]: 0.1472935676574707
 risk of interval [10,14]: 0.45183244347572327
 risk of interval [15,19]: 0.8167487382888794
 risk of interval [20,24]: 0.9638010263442993
 risk of interval [25,29]: 0.9536944031715393
 risk of interval [30,34]: 0.9700053930282593
 risk of interval [35,39]: 0.9224505424499512
 risk of interval [40,44]: 0.7367448806762695
 risk of interval [45,49]: 0.35983559489250183
 risk of interval [50,54]: 0.3757675588130951
 risk of interval [55,59]: 0.2262163907289505
 risk of interval [60,64]: 0.1248980388045311
 risk of interval [65,69]: 0.07303322851657867
 risk of interval [70,74]: 0.08487535268068314
11_018_C_snippet
 risk of interval [0,4]: 0.03704092651605606
 risk of interval [5,9]: 0.17315465211868286
 risk of interval [10,14]: 0.7202158570289612
 risk of interval [15,19]: 0.9269129633903503
 risk of interval [20,24]: 0.9675168395042419
 risk of interval [25,29]: 0.9861875176429749
 risk of interval [30,34]: 0.9443332552909851
 risk of interval [35,39]: 0.7187177538871765
 risk of interval [40,44]: 0.39867493510246277
 risk of interval [45,49]: 0.2171722650527954
 risk of interval [50,54]: 0.8317030668258667
 risk of interval [55,59]: 0.7044409513473511
 risk of interval [60,64]: 0.8412831425666809
 risk of interval [65,69]: 0.6984216570854187
 risk of interval [70,74]: 0.5504751205444336
11_019_C_snippet
 risk of interval [0,4]: 0.024545688182115555
 risk of interval [5,9]: 0.0505688339471817
 risk of interval [10,14]: 0.7347777485847473
 risk of interval [15,19]: 0.8090180158615112
 risk of interval [20,24]: 0.9585902690887451
 risk of interval [25,29]: 0.9901033043861389
 risk of interval [30,34]: 0.6610037088394165
 risk of interval [35,39]: 0.5904486775398254
 risk of interval [40,44]: 0.3813888430595398
 risk of interval [45,49]: 0.019677715376019478
 risk of interval [50,54]: 0.03438505530357361
 risk of interval [55,59]: 0.014365298673510551
 risk of interval [60,64]: 0.023041192442178726
 risk of interval [65,69]: 0.016088813543319702
 risk of interval [70,74]: 0.020884878933429718
11_021_C_snippet
 risk of interval [0,4]: 0.9282597899436951
 risk of interval [5,9]: 0.9813154935836792
 risk of interval [10,14]: 0.9225621223449707
 risk of interval [15,19]: 0.2781367003917694
 risk of interval [20,24]: 0.631317138671875
 risk of interval [25,29]: 0.5675838589668274
 risk of interval [30,34]: 0.16569454967975616
 risk of interval [35,39]: 0.030315805226564407
 risk of interval [40,44]: 0.09605386853218079
 risk of interval [45,49]: 0.10121053457260132
 risk of interval [50,54]: 0.22610943019390106
 risk of interval [55,59]: 0.20313964784145355
 risk of interval [60,64]: 0.5762885808944702
 risk of interval [65,69]: 0.13301579654216766
 risk of interval [70,74]: 0.9087036848068237
11_023_C_snippet
 risk of interval [0,4]: 0.9741236567497253
 risk of interval [5,9]: 0.7557042241096497
 risk of interval [10,14]: 0.6762988567352295
 risk of interval [15,19]: 0.719984233379364
 risk of interval [20,24]: 0.8595777153968811
 risk of interval [25,29]: 0.946332573890686
 risk of interval [30,34]: 0.8534964919090271
 risk of interval [35,39]: 0.6274289488792419
 risk of interval [40,44]: 0.5867032408714294
 risk of interval [45,49]: 0.9169710278511047
 risk of interval [50,54]: 0.9821959733963013
 risk of interval [55,59]: 0.8611084818840027
 risk of interval [60,64]: 0.9541961550712585
 risk of interval [65,69]: 0.6418589353561401
 risk of interval [70,74]: 0.5904077887535095
11_024_C_snippet
 risk of interval [0,4]: 0.5429229140281677
 risk of interval [5,9]: 0.7543185353279114
 risk of interval [10,14]: 0.68769371509552
 risk of interval [15,19]: 0.014229895547032356
 risk of interval [20,24]: 0.026135027408599854
 risk of interval [25,29]: 0.03130829334259033
 risk of interval [30,34]: 0.8394691348075867
 risk of interval [35,39]: 0.9347383975982666
 risk of interval [40,44]: 0.912487268447876
 risk of interval [45,49]: 0.9363600611686707
 risk of interval [50,54]: 0.9851893186569214
 risk of interval [55,59]: 0.9274628758430481
 risk of interval [60,64]: 0.678912878036499
 risk of interval [65,69]: 0.4543258249759674
 risk of interval [70,74]: 0.5285183787345886
11_026_C_snippet
 risk of interval [0,4]: 0.8230588436126709
 risk of interval [5,9]: 0.8480945825576782
 risk of interval [10,14]: 0.9894893765449524
 risk of interval [15,19]: 0.9917119741439819
 risk of interval [20,24]: 0.9781656861305237
 risk of interval [25,29]: 0.9661014676094055
 risk of interval [30,34]: 0.9551441669464111
 risk of interval [35,39]: 0.9392686486244202
 risk of interval [40,44]: 0.9102896451950073
 risk of interval [45,49]: 0.8022487163543701
 risk of interval [50,54]: 0.9444418549537659
 risk of interval [55,59]: 0.9235008955001831
 risk of interval [60,64]: 0.5936886072158813
 risk of interval [65,69]: 0.7412152290344238
 risk of interval [70,74]: 0.774966299533844
12_000_A_snippet
 risk of interval [0,4]: 0.3643670082092285
 risk of interval [5,9]: 0.7736833691596985
 risk of interval [10,14]: 0.7394896149635315
 risk of interval [15,19]: 0.8177881240844727
 risk of interval [20,24]: 0.5014618635177612
 risk of interval [25,29]: 0.5249113440513611
 risk of interval [30,34]: 0.5902912616729736
 risk of interval [35,39]: 0.38062095642089844
 risk of interval [40,44]: 0.4041447043418884
 risk of interval [45,49]: 0.9716481566429138
 risk of interval [50,54]: 0.9660150408744812
 risk of interval [55,59]: 0.9793412089347839
 risk of interval [60,64]: 0.9778302311897278
 risk of interval [65,69]: 0.9775022864341736
 risk of interval [70,74]: 0.9806889295578003
12_003_A_snippet
 risk of interval [0,4]: 0.798816978931427
 risk of interval [5,9]: 0.2999122440814972
 risk of interval [10,14]: 0.8361287713050842
 risk of interval [15,19]: 0.9389711618423462
 risk of interval [20,24]: 0.934901773929596
 risk of interval [25,29]: 0.9375835657119751
 risk of interval [30,34]: 0.8712868690490723
 risk of interval [35,39]: 0.7038100361824036
 risk of interval [40,44]: 0.9547901153564453
 risk of interval [45,49]: 0.8091351389884949
 risk of interval [50,54]: 0.7446281909942627
 risk of interval [55,59]: 0.7097689509391785
 risk of interval [60,64]: 0.7375428080558777
 risk of interval [65,69]: 0.9838864803314209
 risk of interval [70,74]: 0.7657392621040344
12_005_A_snippet
 risk of interval [0,4]: 0.4558982849121094
 risk of interval [5,9]: 0.2905242443084717
 risk of interval [10,14]: 0.505967378616333
 risk of interval [15,19]: 0.22196011245250702
 risk of interval [20,24]: 0.7212732434272766
 risk of interval [25,29]: 0.7341010570526123
 risk of interval [30,34]: 0.47718575596809387
 risk of interval [35,39]: 0.07436775416135788
 risk of interval [40,44]: 0.32997244596481323
 risk of interval [45,49]: 0.08708769083023071
 risk of interval [50,54]: 0.4763324558734894
 risk of interval [55,59]: 0.3979703187942505
 risk of interval [60,64]: 0.2530844807624817
 risk of interval [65,69]: 0.2530844807624817
 risk of interval [70,74]: 0.4230409562587738
12_006_A_snippet
 risk of interval [0,4]: 0.8173359036445618
 risk of interval [5,9]: 0.9044823050498962
 risk of interval [10,14]: 0.3752628564834595
 risk of interval [15,19]: 0.1435428410768509
 risk of interval [20,24]: 0.2530844807624817
 risk of interval [25,29]: 0.9053449034690857
 risk of interval [30,34]: 0.6734561920166016
 risk of interval [35,39]: 0.2530844807624817
 risk of interval [40,44]: 0.2530844807624817
 risk of interval [45,49]: 0.2530844807624817
 risk of interval [50,54]: 0.2530844807624817
 risk of interval [55,59]: 0.2530844807624817
 risk of interval [60,64]: 0.2530844807624817
 risk of interval [65,69]: 0.2530844807624817
 risk of interval [70,74]: 0.2530844807624817
12_007_C_snippet
 risk of interval [0,4]: 0.5391603708267212
 risk of interval [5,9]: 0.7713110446929932
 risk of interval [10,14]: 0.9099859595298767
 risk of interval [15,19]: 0.8806049227714539
 risk of interval [20,24]: 0.9765849709510803
 risk of interval [25,29]: 0.9785234332084656
 risk of interval [30,34]: 0.9827084541320801
 risk of interval [35,39]: 0.9301866888999939
 risk of interval [40,44]: 0.9053358435630798
 risk of interval [45,49]: 0.9347311854362488
 risk of interval [50,54]: 0.9471322894096375
 risk of interval [55,59]: 0.96271151304245
 risk of interval [60,64]: 0.9185606837272644
 risk of interval [65,69]: 0.8836532235145569
 risk of interval [70,74]: 0.8978111743927002
12_008_C_snippet
 risk of interval [0,4]: 0.04048795625567436
 risk of interval [5,9]: 0.012609574943780899
 risk of interval [10,14]: 0.015592179261147976
 risk of interval [15,19]: 0.015316772274672985
 risk of interval [20,24]: 0.03903084248304367
 risk of interval [25,29]: 0.06404666602611542
 risk of interval [30,34]: 0.04311922937631607
 risk of interval [35,39]: 0.8653289079666138
 risk of interval [40,44]: 0.9703289866447449
 risk of interval [45,49]: 0.7910410761833191
 risk of interval [50,54]: 0.6962956190109253
 risk of interval [55,59]: 0.8252032399177551
 risk of interval [60,64]: 0.6903079748153687
 risk of interval [65,69]: 0.9650928974151611
 risk of interval [70,74]: 0.9876974821090698
13_001_A_snippet
 risk of interval [0,4]: 0.8204917907714844
 risk of interval [5,9]: 0.8159269094467163
 risk of interval [10,14]: 0.9182353615760803
 risk of interval [15,19]: 0.508752703666687
 risk of interval [20,24]: 0.4306313991546631
 risk of interval [25,29]: 0.7168892621994019
 risk of interval [30,34]: 0.5511775612831116
 risk of interval [35,39]: 0.5128505825996399
 risk of interval [40,44]: 0.8046650290489197
 risk of interval [45,49]: 0.6375097632408142
 risk of interval [50,54]: 0.6539710760116577
 risk of interval [55,59]: 0.5076088905334473
 risk of interval [60,64]: 0.5938853621482849
 risk of interval [65,69]: 0.5138735175132751
 risk of interval [70,74]: 0.49375128746032715
13_002_P_snippet
 risk of interval [0,4]: 0.6356732845306396
 risk of interval [5,9]: 0.7291523218154907
 risk of interval [10,14]: 0.9884052276611328
 risk of interval [15,19]: 0.929448664188385
 risk of interval [20,24]: 0.9709809422492981
 risk of interval [25,29]: 0.941383421421051
 risk of interval [30,34]: 0.9501696228981018
 risk of interval [35,39]: 0.39821118116378784
 risk of interval [40,44]: 0.3530815541744232
 risk of interval [45,49]: 0.6120882630348206
 risk of interval [50,54]: 0.3628368079662323
 risk of interval [55,59]: 0.49324822425842285
 risk of interval [60,64]: 0.41910284757614136
 risk of interval [65,69]: 0.28694814443588257
 risk of interval [70,74]: 0.4390462040901184
13_003_A_snippet
 risk of interval [0,4]: 0.8589829802513123
 risk of interval [5,9]: 0.8272137641906738
